data_captura,data_referencia,indice,numero_indice,variacao_diaria,variacao_mensal,variacao_anual,variacao_ultimos_12_meses,variacao_ultimos_24_meses,duration_du,peso_geral,carteira_a_mercado_rs_mil,numero_operacoes,quant_negociada_1000_titulos,valor_negociado_rs_mil,pmr,convexidade,yield_,redemption_yield
2026-06-12,2026-06-11,IMA-B,11453.31729100,1.4047,-0.4441,4.7096,10.5691,16.5685,1547,23.35,1932086758,2150,7517.92,32748800.45,2926.81283999599,77.3102946016828,8.25172862065544,7.66132253751077
2026-06-12,2026-06-11,IMA-S,8639.45477800,0.0532,0.4297,6.2191,14.9557,29.0369,1,53.76,4448198287,458,1138.73,21809704.66,1,0,,
2026-06-12,2026-06-11,IMA-GERAL-EX-C,9956.23444000,0.5316,-0.0346,5.2426,13.2010,24.3439,494,98.93,8186519599,3131,57201.70,94408496.27,891.34166217619,20.2384442793646,,
2026-06-12,2026-06-11,IMA-GERAL,10099.40777400,0.5276,-0.0292,5.2635,13.1266,24.2326,499,100.00,8274905575,3131,57201.70,94408496.27,896.381198102425,20.1897583144565,,
2026-06-13,2026-06-12,IRF-M 1,20215.10485300,0.0512,0.3818,5.8340,14.3296,27.7768,89,6.22,515425831,,,,129.971157570318,0.433369191038728,14.2606940075074,14.2214886711552
2026-06-13,2026-06-12,IRF-M 1+,24244.81672200,0.3547,-0.7843,3.1140,11.4489,21.4290,779,15.63,1295652105,,,,1216.17929813999,12.4904989857367,14.4615327679543,14.4570894114107
2026-06-13,2026-06-12,IRF-M,22439.55056400,0.2681,-0.4557,3.8584,12.2885,23.4524,583,21.85,1811077935,,,,907.048629551509,9.05908611422365,14.4043748274303,14.4468674378071
2026-06-13,2026-06-12,IMA-B 5,11302.00288200,0.1635,-0.0289,6.2206,12.3748,22.5310,456,10.37,859839883,,,,676.308001006348,6.1905856549356,9.11045225055503,8.45616528654034
2026-06-13,2026-06-12,IMA-B 5+,12612.03960400,0.4653,-0.1825,4.1510,9.7081,14.4608,2422,13.01,1078645503,,,,4725.80269960814,134.577840083539,7.58835583099651,7.50066238660163
2026-06-13,2026-06-12,IMA-B,11491.24805000,0.3312,-0.1144,5.0564,10.9011,17.6040,1550,23.39,1938485386,,,,2929.59774787886,77.6300381211835,8.26350108474,7.62541871229598
2026-06-13,2026-06-12,IMA-S,8644.05605200,0.0533,0.4832,6.2756,14.9542,29.0562,1,53.70,4450567346,,,,1,0,,
2026-06-13,2026-06-12,IMA-GERAL-EX-C,9972.78787100,0.1663,0.1316,5.4176,13.3445,24.8094,496,98.93,8200130667,,,,893.420976484032,20.3522860998126,,
2026-06-13,2026-06-12,IMA-GERAL,10116.01314900,0.1644,0.1352,5.4365,13.2681,24.6906,500,100.00,8288511116,,,,898.41909069674,20.3020983011879,,
2026-06-15,2026-06-12,IRF-M 1,20215.10485300,0.0512,0.3818,5.8340,14.3296,27.7768,89,6.22,515425831,151,14415.64,13867800.41,129.971157570318,0.433369191038728,14.2606940075074,14.2214886711552
2026-06-15,2026-06-12,IRF-M 1+,24244.81672200,0.3547,-0.7843,3.1140,11.4489,21.4290,779,15.63,1295652105,622,58560.99,39278043.24,1216.17929813999,12.4904989857367,14.4615327679543,14.4570894114107
2026-06-15,2026-06-12,IRF-M,22439.55056400,0.2681,-0.4557,3.8584,12.2885,23.4524,583,21.85,1811077935,773,72976.63,53145843.65,907.048629551509,9.05908611422365,14.4043748274303,14.4468674378071
2026-06-15,2026-06-12,IMA-B 5,11302.00288200,0.1635,-0.0289,6.2206,12.3748,22.5310,456,10.37,859839883,1418,6373.06,28896339.08,676.308001006348,6.1905856549356,9.11045225055503,8.45616528654034
