data_captura,data_referencia,periodo,classe,segmento_investidor,tipo_metodologia,metrica,prazo,valor,data
2026-06-19,2026-04-30,04/2026,RF DI,OUTROS,Captação Líquida Dados Consolidados,EWMA_94,3,0.0266,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,VAREJO,Resgate Dados Consolidados,EWMA_97,126,0.2793,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,OUTROS,Resgate Dados Consolidados,EWMA_97,5,0.007,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,EFPC,Resgate Dados Consolidados,EWMA_94,126,0.1263,2026/04/30
2026-06-19,2026-04-30,04/2026,Cambial,PRIVATE,Resgate Dados Consolidados,EWMA_97,5,0.0567,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,OUTROS,Resgate Dados Consolidados,EWMA_97,10,0.0143,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,PJ,Captação Líquida Dados Consolidados,EWMA_97,42,0.0974,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,VAREJO,Resgate Dados Consolidados,media_simples,10,0.0169,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,EFPC,Captação Líquida Dados Consolidados,EWMA_94,3,0.0083,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,INSTITUCIONAIS,Captação Líquida Dados Consolidados,EWMA_97,126,0.4476,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,PJ,Resgate Dados Consolidados,EWMA_94,63,0.3484,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,INSTITUCIONAIS,Resgate Dados Consolidados,media_simples,42,0.0634,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,OUTROS,Captação Líquida Dados Consolidados,media_simples,1,0.0128,2026/04/30
