data_captura,titulo,vencimento,preco_unitario,preco_retorno,posicao_custodia
2026-06-15,760197,2044-08-15,35.57544688,0.00000000,1813042
2026-06-15,760197,2044-11-15,34.93850009,0.00000000,1944194
2026-06-15,760197,2045-02-15,34.29368653,0.00000000,1813042
2026-06-15,760197,2045-05-15,33.72866207,0.00000000,1944194
2026-06-15,760197,2045-08-15,33.10697029,0.00000000,1813042
2026-06-15,760197,2045-11-15,32.51597560,0.00000000,127551
2026-06-15,760197,2046-02-15,31.96350767,0.00000000,1813042
2026-06-15,760197,2046-05-15,31.41202331,0.00000000,127551
2026-06-15,760197,2046-08-15,30.83547124,0.00000000,1813042
2026-06-15,760197,2046-11-15,30.28737496,0.00000000,127551
2026-06-15,760197,2047-02-15,29.75807965,0.00000000,1813042
2026-06-15,760197,2047-05-15,29.26352764,0.00000000,127551
2026-06-15,760197,2047-08-15,28.72879992,0.00000000,1813042
2026-06-15,760197,2047-11-15,28.19649222,0.00000000,127551
2026-06-15,760197,2048-02-15,27.70602921,0.00000000,1813042
2026-06-15,760197,2048-05-15,27.24775837,0.00000000,127551
2026-06-15,760197,2048-08-15,26.75225813,0.00000000,1813042
2026-06-15,760197,2048-11-15,26.28861570,0.00000000,127551
2026-06-15,760197,2049-02-15,25.83358474,0.00000000,1813042
2026-06-15,760197,2049-05-15,25.39414301,0.00000000,127551
2026-06-15,760197,2049-08-15,24.94172302,0.00000000,1813042
2026-06-15,760197,2049-11-15,24.51171604,0.00000000,127551
2026-06-15,760197,2050-02-15,24.06948157,0.00000000,1813042
2026-06-15,760197,2050-05-15,23.66891609,0.00000000,127551
2026-06-15,760197,2050-08-15,23.24959139,0.00000000,1813042
2026-06-15,760197,2050-11-15,22.84500079,0.00000000,127551
2026-06-15,760197,2051-02-15,22.44863545,0.00000000,1149710
2026-06-15,760197,2051-05-15,22.07856932,0.00000000,127551
2026-06-15,760197,2051-08-15,21.68559654,0.00000000,1149710
2026-06-15,760197,2051-11-15,21.31235299,0.00000000,127551
2026-06-15,760197,2052-02-15,20.95215135,0.00000000,1149710
2026-06-15,760197,2052-05-15,20.61009121,0.00000000,127551
2026-06-15,760197,2052-08-15,20.24654576,0.00000000,1149710
2026-06-15,760197,2052-11-15,19.88464403,0.00000000,127551
2026-06-15,760197,2053-02-15,19.55110719,0.00000000,1149710
2026-06-15,760197,2053-05-15,19.24455529,0.00000000,127551
2026-06-15,760197,2053-08-15,18.90709108,0.00000000,1149710
2026-06-15,760197,2053-11-15,18.57080690,0.00000000,127551
2026-06-15,760197,2054-02-15,18.27048535,0.00000000,1149710
2026-06-15,760197,2054-05-15,17.97025437,0.00000000,127551
2026-06-15,760197,2054-08-15,17.65581023,0.00000000,1149710
2026-06-15,760197,2054-11-15,17.36097110,0.00000000,127551
2026-06-15,760197,2055-02-15,17.07094077,0.00000000,1149710
2026-06-15,760197,2055-05-15,16.79012983,0.00000000,127551
2026-06-15,760197,2055-08-15,16.49902426,0.00000000,1149710
2026-06-15,760197,2056-02-15,15.93326683,0.00000000,1149710
2026-06-15,760197,2056-08-15,15.38232127,0.00000000,1149710
2026-06-15,760197,2057-02-15,14.84243797,0.00000000,1149710
2026-06-15,760197,2057-08-15,14.31853436,0.00000000,1149710
2026-06-15,760197,2058-02-15,13.80285250,0.00000000,1149710
2026-06-15,760197,2058-08-15,13.30427851,0.00000000,1149710
2026-06-15,760197,2059-02-15,12.81150380,0.00000000,1149710
2026-06-15,760197,2059-08-15,12.33696072,0.00000000,1149710
2026-06-15,760197,2060-02-15,11.86630371,0.00000000,1149710
2026-06-15,760197,2060-08-15,11.42201204,0.00000000,1149710
2026-06-15,760198,2026-08-15,4637.76357595,0.00000000,3006799
2026-06-15,760198,2027-05-15,4380.81178176,0.00000000,11057
2026-06-15,760198,2028-08-15,3929.65817716,0.00000000,322199
2026-06-15,760198,2029-05-15,3707.25641792,0.00000000,6930699
