data_captura,data_referencia,codigo_ativo_objeto,total_series,posicao_aberta_call,posicao_aberta_put,posicao_aberta_total,put_call_ratio,posicao_coberta,posicao_descoberta,posicao_trava,strike_max_oi_call,strike_max_oi_put
2026-09-13,2026-08-31,EGIE,282,18863678,21504007,40367685,1.14,451035,35740997,4175653,31.96,31.96
2026-09-13,2026-08-31,RAIL,231,20396100,18390700,38786800,0.9017,383600,20043300,18359900,16.08,13.08
2026-09-13,2026-08-31,CPLE,238,9933900,27975000,37908900,2.8161,718600,29561600,7628700,16.05,13.8
2026-09-13,2026-08-31,CSMG,379,17792900,18728000,36520900,1.0526,4083700,22093500,10343700,40.02,25.02
2026-09-13,2026-08-31,CYRE,510,18353500,17263200,35616700,0.9406,635300,19063100,15918300,25.25,25.25
2026-09-13,2026-08-31,RADL,313,12107921,22704976,34812897,1.8752,201282,15995533,18616082,22.24,17.52
2026-09-13,2026-08-31,RDOR,324,23241000,10939200,34180200,0.4707,536200,19333800,14310200,23.56,23.56
2026-09-13,2026-08-31,HAPV,482,16245321,17084144,33329465,1.0516,805024,19429790,13094651,7.1,7.1
2026-09-13,2026-08-31,EMBJ,944,16161700,16362300,32524000,1.0124,375200,13871100,18277700,84.57,100.07
2026-09-13,2026-08-31,BRAV,467,16886000,15533300,32419300,0.9199,459100,22370100,9590100,25.48,20.38
2026-09-13,2026-08-31,BOVV,63,16940265,13112800,30053065,0.7741,4402,27402747,2645916,184.0,184.0
2026-09-13,2026-08-31,BRKM,391,7310400,21962400,29272800,3.0043,611000,19982400,8679400,8.0,3.45
2026-09-13,2026-08-31,MOVI,300,16063800,11867100,27930900,0.7387,325400,24781700,2823800,17.84,11.84
